Subject,Predicate,Object
<http://doi.org/10.1079/SSR2003150>,<http://www.w3.org/2000/01/rdf-schema#label>,'Baskin & Baskin 2004'^^[xsd:string]
<http://doi.org/10.1079/SSR2003150>,<http://purl.org/dc/terms/bibliographicCitation>,"'Baskin, Jerry M., & Carol C. Baskin. A classification system for seed dormancy. *Seed Science Research* 14(1), 1-16  (2004).'@en"
<http://doi.org/10.1079/SSR2003150>,<http://purl.org/dc/terms/identifier>,'doi:10.1079/SSR2003150'^^[xsd:string]
<http://doi.org/10.1079/SSR2003150>,<http://purl.org/dc/terms/title>,'A classification system for seed dormancy'@en
<https://github.com/traitecoevo/APD#ISBN_1842464221>,<http://www.w3.org/2000/01/rdf-schema#label>,'Beentje 2010'^^[xsd:string]
<https://github.com/traitecoevo/APD#ISBN_1842464221>,<http://purl.org/dc/terms/bibliographicCitation>,"'Beentje, Henk Jaap. The Kew Plant Glossary: An Illustrated Dictionary of Plant Terms. (Royal Botanic Gardens, 2010).'@en"
<https://github.com/traitecoevo/APD#ISBN_1842464221>,<http://purl.org/dc/terms/identifier>,'ISBN:1842464221'^^[xsd:string]
<https://github.com/traitecoevo/APD#ISBN_1842464221>,<http://purl.org/dc/terms/title>,'The Kew plant glossary: an illustrated dictionary of plant terms'@en
<http://doi.org/10.1007/978-1-4684-7747-4_8>,<http://www.w3.org/2000/01/rdf-schema#label>,'Bradbeer 1988'^^[xsd:string]
<http://doi.org/10.1007/978-1-4684-7747-4_8>,<http://purl.org/dc/terms/bibliographicCitation>,"'Bradbeer, J. W., and J. W. Bradbeer. Seed viability and vigour. *Seed Dormancy and Germination* 95-109 (1988).'@en"
<http://doi.org/10.1007/978-1-4684-7747-4_8>,<http://purl.org/dc/terms/identifier>,'doi:10.1007/978-1-4684-7747-4_8'^^[xsd:string]
<http://doi.org/10.1007/978-1-4684-7747-4_8>,<http://purl.org/dc/terms/title>,'Seed Viability and Vigour'@en
<http://doi.org/10.13140/2.1.2761.5367>,<http://www.w3.org/2000/01/rdf-schema#label>,'Brock & Casanova 1997'^^[xsd:string]
<http://doi.org/10.13140/2.1.2761.5367>,<http://purl.org/dc/terms/bibliographicCitation>,"'Brock, M. A., and M. T. Casanova. Plant life at the edge of wetlands: ecological responses to wetting and drying. *Frontiers in Ecology: Building the Links* 181 (1997).'@en"
<http://doi.org/10.13140/2.1.2761.5367>,<http://purl.org/dc/terms/identifier>,'doi:10.13140/2.1.2761.5367'^^[xsd:string]
<http://doi.org/10.13140/2.1.2761.5367>,<http://purl.org/dc/terms/title>,'Plant life at the edge of wetlands: ecological responses to wetting and drying patterns'@en
<http://doi.org/10.1071/9780643109865>,<http://www.w3.org/2000/01/rdf-schema#label>,'Brooker & Nicolle 2013'^^[xsd:string]
<http://doi.org/10.1071/9780643109865>,<http://purl.org/dc/terms/bibliographicCitation>,"'Brooker, Ian, and Dean Nicolle. Atlas of leaf venation and oil gland patterns in the eucalypts. (CSIRO Publishing, 2013).'@en"
<http://doi.org/10.1071/9780643109865>,<http://purl.org/dc/terms/identifier>,'doi:10.1071/9780643109865'^^[xsd:string]
<http://doi.org/10.1071/9780643109865>,<http://purl.org/dc/terms/title>,'Atlas of Leaf Venation and Oil Gland Patterns in the Eucalypts'@en
<http://www.mycorrhizas.info>,<http://www.w3.org/2000/01/rdf-schema#label>,'Brundrett 2008'^^[xsd:string]
<http://www.mycorrhizas.info>,<http://purl.org/dc/terms/bibliographicCitation>,"'Brundrett, Mark. Mycorrhizal associations: the web resource.  http://www.mycorrhizas.info/ (2008).'@en"
<http://www.mycorrhizas.info>,<http://purl.org/dc/terms/identifier>,'url:www.mycorrhizas.info+D75B2C2:C75C2:D77B2C2:C75C2:D64C2:D60C2:D59C2:D60C2:E63C2:D64B2C2:C75C2:I57C2:E56C2:E52C2:D51C2:D50'^^[xsd:string]
<http://www.mycorrhizas.info>,<http://purl.org/dc/terms/title>,'Mycorrhizal Associations: The Web Resource'@en
<http://doi.org/10.1086/319579>,<http://www.w3.org/2000/01/rdf-schema#label>,'Burrows 2001'^^[xsd:string]
<http://doi.org/10.1086/319579>,<http://purl.org/dc/terms/bibliographicCitation>,"'Burrows, G. E. Comparative anatomy of the photosynthetic organs of 39 xeromorphic species from subhumid New South Wales, Australia. *International Journal of Plant Sciences* 162(2), 411-430 (2001).'@en"
<http://doi.org/10.1086/319579>,<http://purl.org/dc/terms/identifier>,'doi:10.1086/319579'^^[xsd:string]
<http://doi.org/10.1086/319579>,<http://purl.org/dc/terms/title>,"'Comparative Anatomy of the Photosynthetic Organs of 39 Xeromorphic Species from Subhumid New South Wales, Australia'@en"
<http://doi.org/10.2307/1932458>,<http://www.w3.org/2000/01/rdf-schema#label>,'Cannon 1949'^^[xsd:string]
<http://doi.org/10.2307/1932458>,<http://purl.org/dc/terms/bibliographicCitation>,"'Cannon, William Austin. A tentative classification of root systems. *Ecology* 30(4), 542-548 (1949).'@en"
<http://doi.org/10.2307/1932458>,<http://purl.org/dc/terms/identifier>,'doi:10.2307/1932458'^^[xsd:string]
<http://doi.org/10.2307/1932458>,<http://purl.org/dc/terms/title>,'A Tentative Classification of Root Systems'@en
<http://doi.org/10.1086/670400>,<http://www.w3.org/2000/01/rdf-schema#label>,'Carlquist 2013'^^[xsd:string]
<http://doi.org/10.1086/670400>,<http://purl.org/dc/terms/bibliographicCitation>,"'Carlquist, Sherwin. More woodiness/less woodiness: evolutionary avenues, ontogenetic mechanisms. *International Journal of Plant Sciences* 174(7) 964-991 (2013).'@en"
<http://doi.org/10.1086/670400>,<http://purl.org/dc/terms/identifier>,'doi:10.1086/670400'^^[xsd:string]
<http://doi.org/10.1086/670400>,<http://purl.org/dc/terms/title>,"'More Woodiness/Less Woodiness: Evolutionary Avenues, Ontogenetic Mechanisms'@en"
<http://doi.org/10.1023/A1009875226637>,<http://www.w3.org/2000/01/rdf-schema#label>,'Casanova & Brock 2000'^^[xsd:string]
<http://doi.org/10.1023/A1009875226637>,<http://purl.org/dc/terms/bibliographicCitation>,"'Casanova, M.T., Brock, M.A. How do depth, duration and frequency of flooding influence the establishment of wetland plant communities? *Plant Ecology* 147, 237-250 (2000).'@en"
<http://doi.org/10.1023/A1009875226637>,<http://purl.org/dc/terms/identifier>,'doi:10.1023/A:1009875226637'^^[xsd:string]
<http://doi.org/10.1023/A1009875226637>,<http://purl.org/dc/terms/title>,"'How do depth, duration and frequency of flooding influence the establishment of wetland plant communities?'@en"
<http://doi.org/10.1111/geb.12346>,<http://www.w3.org/2000/01/rdf-schema#label>,'Chen 2015'^^[xsd:string]
<http://doi.org/10.1111/geb.12346>,<http://purl.org/dc/terms/bibliographicCitation>,"'Chen, Si-Chong, and Angela T. Moles. A mammoth mouthful? A test of the idea that larger animals ingest larger seeds. *Global Ecology and Biogeography* 24(11), 1269-1280 (2015).'@en"
<http://doi.org/10.1111/geb.12346>,<http://purl.org/dc/terms/identifier>,'doi:10.1111/geb.12346'^^[xsd:string]
<http://doi.org/10.1111/geb.12346>,<http://purl.org/dc/terms/title>,'A mammoth mouthful? A test of the idea that larger animals ingest larger seeds'@en
<https://prometheusprotocols.net/function/water-relations/hydraulic-conductance-and-conductivity/>,<http://www.w3.org/2000/01/rdf-schema#label>,'Choat 2010'^^[xsd:string]
<https://prometheusprotocols.net/function/water-relations/hydraulic-conductance-and-conductivity/>,<http://purl.org/dc/terms/bibliographicCitation>,"'Choat, Brendan. Hydraulic Conductance and Conductivity. *Prometheus* https://prometheusprotocols.net/function/water-relations/hydraulic-conductance-and-conductivity/ (2010).'@en"
<https://prometheusprotocols.net/function/water-relations/hydraulic-conductance-and-conductivity/>,<http://purl.org/dc/terms/identifier>,'url:https://prometheusprotocols.net/function/water-relations/hydraulic-conductance-and-conductivity/'^^[xsd:string]
<https://prometheusprotocols.net/function/water-relations/hydraulic-conductance-and-conductivity/>,<http://purl.org/dc/terms/title>,'Hydraulic Conductance and Conductivity'@en
<http://doi.org/10.1111/j.1469-8137.1992.tb01131.x>,<http://www.w3.org/2000/01/rdf-schema#label>,'Choong 1992'^^[xsd:string]
<http://doi.org/10.1111/j.1469-8137.1992.tb01131.x>,<http://purl.org/dc/terms/bibliographicCitation>,"'Choong, M. F., et al. Leaf fracture toughness and sclerophylly: their correlations and ecological implications. *New Phytologist* 121(4), 597-610 (1992).'@en"
<http://doi.org/10.1111/j.1469-8137.1992.tb01131.x>,<http://purl.org/dc/terms/identifier>,'doi:10.1111/j.1469-8137.1992.tb01131.x'^^[xsd:string]
<http://doi.org/10.1111/j.1469-8137.1992.tb01131.x>,<http://purl.org/dc/terms/title>,'Leaf fracture toughness and sclerophylly: their correlations and ecological implications'@en
<http://doi.org/10.1016/j.scitotenv.2015.04.002>,<http://www.w3.org/2000/01/rdf-schema#label>,'Clarke 2015'^^[xsd:string]
<http://doi.org/10.1016/j.scitotenv.2015.04.002>,<http://purl.org/dc/terms/bibliographicCitation>,"'Clarke, Peter J., et al. A synthesis of postfire recovery traits of woody plants in Australian ecosystems. *Science of the Total Environment* 534, 31-42 (2015).'@en"
<http://doi.org/10.1016/j.scitotenv.2015.04.002>,<http://purl.org/dc/terms/identifier>,'doi:10.1016/j.scitotenv.2015.04.002'^^[xsd:string]
<http://doi.org/10.1016/j.scitotenv.2015.04.002>,<http://purl.org/dc/terms/title>,'A synthesis of postfire recovery traits of woody plants in Australian ecosystems'@en
<https://prometheusprotocols.net/function/water-relations/xylem-vulnerability-curves/>,<http://www.w3.org/2000/01/rdf-schema#label>,'Cochard 2010'^^[xsd:string]
<https://prometheusprotocols.net/function/water-relations/xylem-vulnerability-curves/>,<http://purl.org/dc/terms/bibliographicCitation>,"'Cochard, Hervé. Xylem Vulnerability Curves. *Prometheus* https://prometheusprotocols.net/function/water-relations/xylem-vulnerability-curves/ (2010).'@en"
<https://prometheusprotocols.net/function/water-relations/xylem-vulnerability-curves/>,<http://purl.org/dc/terms/identifier>,'url:https://prometheusprotocols.net/function/water-relations/xylem-vulnerability-curves/'^^[xsd:string]
<https://prometheusprotocols.net/function/water-relations/xylem-vulnerability-curves/>,<http://purl.org/dc/terms/title>,'Xylem Vulnerability Curves'@en
<http://doi.org/10.1071/BT02124>,<http://www.w3.org/2000/01/rdf-schema#label>,'Cornellison 2003'^^[xsd:string]
<http://doi.org/10.1071/BT02124>,<http://purl.org/dc/terms/bibliographicCitation>,"'Cornelissen, J. H. C., et al. A handbook of protocols for standardised and easy measurement of plant functional traits worldwide. *Australian journal of Botany* 51(4), 335-380 (2003).'@en"
<http://doi.org/10.1071/BT02124>,<http://purl.org/dc/terms/identifier>,'doi:10.1071/BT02124'^^[xsd:string]
<http://doi.org/10.1071/BT02124>,<http://purl.org/dc/terms/title>,'A handbook of protocols for standardised and easy measurement of plant functional traits worldwide'@en
<http://doi.org/10.1071/BT11284>,<http://www.w3.org/2000/01/rdf-schema#label>,'Curtis 2012'^^[xsd:string]
<http://doi.org/10.1071/BT11284>,<http://purl.org/dc/terms/bibliographicCitation>,"'Curtis, Ellen M., Andrea Leigh, and Scott Rayburg. Relationships among leaf traits of Australian arid zone plants: alternative modes of thermal protection. *Australian Journal of Botany* 60(6), 471-483 (2012).'@en"
<http://doi.org/10.1071/BT11284>,<http://purl.org/dc/terms/identifier>,'doi:10.1071/BT11284'^^[xsd:string]
<http://doi.org/10.1071/BT11284>,<http://purl.org/dc/terms/title>,'Relationships among leaf traits of Australian arid zone plants: alternative modes of thermal protection'@en
<http://doi.org/10.1111/geb.13065>,<http://www.w3.org/2000/01/rdf-schema#label>,'Delmas 2020'^^[xsd:string]
<http://doi.org/10.1111/geb.13065>,<http://purl.org/dc/terms/bibliographicCitation>,"'Delmas, Chloe EL, Robert M. Kooyman, and Maurizio Rossetto. Evolutionary constraints and adaptation shape the size and colour of rain forest fruits and flowers at continental scale. *Global Ecology and Biogeography* 29(5), 830-841 (2020).'@en"
<http://doi.org/10.1111/geb.13065>,<http://purl.org/dc/terms/identifier>,'doi:10.1111/geb.13065'^^[xsd:string]
<http://doi.org/10.1111/geb.13065>,<http://purl.org/dc/terms/title>,'Evolutionary constraints and adaptation shape the size and colour of rain forest fruits and flowers at continental scale'@en
<https://github.com/traitecoevo/APD#ISBN_9780801475184>,<http://www.w3.org/2000/01/rdf-schema#label>,'Ellis 2009'^^[xsd:string]
<https://github.com/traitecoevo/APD#ISBN_9780801475184>,<http://purl.org/dc/terms/bibliographicCitation>,"'Ellis, Beth, et al. Manual of Leaf Architecture. (Cornell University Press, 2009).'@en"
<https://github.com/traitecoevo/APD#ISBN_9780801475184>,<http://purl.org/dc/terms/identifier>,'ISBN:9780801475184'^^[xsd:string]
<https://github.com/traitecoevo/APD#ISBN_9780801475184>,<http://purl.org/dc/terms/title>,'Manual of Leaf Architecture'@en
<https://prometheusprotocols.net/function/gas-exchange-and-chlorophyll-fluorescence/gas-exchange-measurements-of-photosynthetic-response-curves/>,<http://www.w3.org/2000/01/rdf-schema#label>,'Evans 2010'^^[xsd:string]
<https://prometheusprotocols.net/function/gas-exchange-and-chlorophyll-fluorescence/gas-exchange-measurements-of-photosynthetic-response-curves/>,<http://purl.org/dc/terms/bibliographicCitation>,"'Evans, John. Gas Exchange Measurements of Photosynthetic Response Curves. *Prometheus* https://prometheusprotocols.net/function/gas-exchange-and-chlorophyll-fluorescence/gas-exchange-measurements-of-photosynthetic-response-curves/ (2010).'@en"
<https://prometheusprotocols.net/function/gas-exchange-and-chlorophyll-fluorescence/gas-exchange-measurements-of-photosynthetic-response-curves/>,<http://purl.org/dc/terms/identifier>,'url:https://prometheusprotocols.net/function/gas-exchange-and-chlorophyll-fluorescence/gas-exchange-measurements-of-photosynthetic-response-curves/'^^[xsd:string]
<https://prometheusprotocols.net/function/gas-exchange-and-chlorophyll-fluorescence/gas-exchange-measurements-of-photosynthetic-response-curves/>,<http://purl.org/dc/terms/title>,'Gas Exchange Measurements of Photosynthetic Response Curves'@en
<http://doi.org/10.1046/j.1469-8137.2003.00765.x>,<http://www.w3.org/2000/01/rdf-schema#label>,'Falster 2003b'^^[xsd:string]
<http://doi.org/10.1046/j.1469-8137.2003.00765.x>,<http://purl.org/dc/terms/bibliographicCitation>,"'Falster, Daniel S., and Mark Westoby. Leaf size and angle vary widely across species: what consequences for light interception? *New Phytologist* 158(3), 509-525 (2003).'@en"
<http://doi.org/10.1046/j.1469-8137.2003.00765.x>,<http://purl.org/dc/terms/identifier>,'doi:10.1046/j.1469-8137.2003.00765.x'^^[xsd:string]
<http://doi.org/10.1046/j.1469-8137.2003.00765.x>,<http://purl.org/dc/terms/title>,'Leaf size and angle vary widely across species: what consequences for light interception?'@en
<http://doi.org/10.1016/S0169-5347(03)00061-2>,<http://www.w3.org/2000/01/rdf-schema#label>,'Falster 2003a'^^[xsd:string]
<http://doi.org/10.1016/S0169-5347(03)00061-2>,<http://purl.org/dc/terms/bibliographicCitation>,"'Falster, Daniel S., and Mark Westoby. Plant height and evolutionary games. *Trends in Ecology & Evolution* 18(7), 337-343 (2003).'@en"
<http://doi.org/10.1016/S0169-5347(03)00061-2>,<http://purl.org/dc/terms/identifier>,'doi:10.1016/S0169-5347(03)00061-2'^^[xsd:string]
<http://doi.org/10.1016/S0169-5347(03)00061-2>,<http://purl.org/dc/terms/title>,'Plant height and evolutionary games'@en
<http://doi.org/10.1139/x87-131>,<http://www.w3.org/2000/01/rdf-schema#label>,'Gale and Grigal 1987'^^[xsd:string]
<http://doi.org/10.1139/x87-131>,<http://purl.org/dc/terms/bibliographicCitation>,"'Gale, M. R., and D. F. Grigal. Vertical root distributions of northern tree species in relation to successional status. *Canadian Journal of Forest Research* 17(8), 829-834 (1987).'@en"
<http://doi.org/10.1139/x87-131>,<http://purl.org/dc/terms/identifier>,'doi:10.1139/x87-131'^^[xsd:string]
<http://doi.org/10.1139/x87-131>,<http://purl.org/dc/terms/title>,'Vertical root distributions of northern tree species in relation to successional status'@en
<http://doi.org/10.1111/j.1365-2699.2012.02773.x>,<http://www.w3.org/2000/01/rdf-schema#label>,'Gallagher 2012'^^[xsd:string]
<http://doi.org/10.1111/j.1365-2699.2012.02773.x>,<http://purl.org/dc/terms/bibliographicCitation>,"'Gallagher, Rachael V., and Michelle R. Leishman. A global analysis of trait variation and evolution in climbing plants. *Journal of Biogeography* 39(10), 1757-1771 (2012).'@en"
<http://doi.org/10.1111/j.1365-2699.2012.02773.x>,<http://purl.org/dc/terms/identifier>,'doi:10.1111/j.1365-2699.2012.02773.x'^^[xsd:string]
<http://doi.org/10.1111/j.1365-2699.2012.02773.x>,<http://purl.org/dc/terms/title>,'A global analysis of trait variation and evolution in climbing plants'@en
<http://doi.org/10.1007/s004420050337>,<http://www.w3.org/2000/01/rdf-schema#label>,'Gamon 1997'^^[xsd:string]
<http://doi.org/10.1007/s004420050337>,<http://purl.org/dc/terms/bibliographicCitation>,"'Gamon, JAm, L. Serrano, and J. S. Surfus. The photochemical reflectance index: an optical indicator of photosynthetic radiation use efficiency across species, functional types, and nutrient levels. *Oecologia* 112, 492-501 (1997).'@en"
<http://doi.org/10.1007/s004420050337>,<http://purl.org/dc/terms/identifier>,'doi:10.1007/s004420050337'^^[xsd:string]
<http://doi.org/10.1007/s004420050337>,<http://purl.org/dc/terms/title>,"'The photochemical reflectance index: an optical indicator of photosynthetic radiation use efficiency across species, functional types, and nutrient levels'@en"
<http://hdl.handle.net/102.100.100/248872?index=1>,<http://www.w3.org/2000/01/rdf-schema#label>,'Gill & Bradstock 1992'^^[xsd:string]
<http://hdl.handle.net/102.100.100/248872?index=1>,<http://purl.org/dc/terms/bibliographicCitation>,"'Gill, A.M.; Bradstock, R.A. A national register for the fire responses of plant species. *Cunninghamia* 2(4), 653-660 (1992).'@en"
<http://hdl.handle.net/102.100.100/248872?index=1>,<http://purl.org/dc/terms/identifier>,'procite:0d693cc0-5963-4818-a4ce-651aa6dbebc1'^^[xsd:string]
<http://hdl.handle.net/102.100.100/248872?index=1>,<http://purl.org/dc/terms/title>,'A national register for the fire responses of plant species'@en
<http://doi.org/10.1111/j.1654-1103.2012.01434.x>,<http://www.w3.org/2000/01/rdf-schema#label>,'Gosper 2012'^^[xsd:string]
<http://doi.org/10.1111/j.1654-1103.2012.01434.x>,<http://purl.org/dc/terms/bibliographicCitation>,"'Gosper, Carl R., Colin J. Yates, and Suzanne M. Prober. Changes in plant species and functional composition with time since fire in two mediterranean climate plant communities. *Journal of Vegetation Science* 23(6), 1071-1081 (2012).'@en"
<http://doi.org/10.1111/j.1654-1103.2012.01434.x>,<http://purl.org/dc/terms/identifier>,'doi:10.1111/j.1654-1103.2012.01434.x'^^[xsd:string]
<http://doi.org/10.1111/j.1654-1103.2012.01434.x>,<http://purl.org/dc/terms/title>,'Changes in plant species and functional composition with time since fire in two Mediterranean climate plant communities'@en
<http://doi.org/10.1111/oik.03886>,<http://www.w3.org/2000/01/rdf-schema#label>,'Grootemaat 2017'^^[xsd:string]
<http://doi.org/10.1111/oik.03886>,<http://purl.org/dc/terms/bibliographicCitation>,"'Grootemaat, Saskia, et al. Scaling up flammability from individual leaves to fuel beds. *Oikos* 126(10), 1428-1438 (2017).'@en"
<http://doi.org/10.1111/oik.03886>,<http://purl.org/dc/terms/identifier>,'doi:10.1111/oik.03886'^^[xsd:string]
<http://doi.org/10.1111/oik.03886>,<http://purl.org/dc/terms/title>,'Scaling up flammability from individual leaves to fuel beds'@en
<http://doi.org/10.1016/j.ppees.2007.01.001>,<http://www.w3.org/2000/01/rdf-schema#label>,'Hanley 2007'^^[xsd:string]
<http://doi.org/10.1016/j.ppees.2007.01.001>,<http://purl.org/dc/terms/bibliographicCitation>,"'Hanley, Mick E., et al. Plant structural traits and their role in anti-herbivore defence. *Perspectives in Plant Ecology, Evolution and Systematics* 8(4), 157-178 (2007).'@en"
<http://doi.org/10.1016/j.ppees.2007.01.001>,<http://purl.org/dc/terms/identifier>,'doi:10.1016/j.ppees.2007.01.001'^^[xsd:string]
<http://doi.org/10.1016/j.ppees.2007.01.001>,<http://purl.org/dc/terms/title>,'Plant structural traits and their role in anti-herbivore defence'@en
<http://www.indexdatabase.de/>,<http://www.w3.org/2000/01/rdf-schema#label>,'Henrich & Brüser 2022'^^[xsd:string]
<http://www.indexdatabase.de/>,<http://purl.org/dc/terms/bibliographicCitation>,"'Henrich, Verena and Brüser, Katharina. Index database: A database for remote sensing indices. *IDB - Index DataBase* http://www.indexdatabase.de/ (2023).'@en"
<http://www.indexdatabase.de/>,<http://purl.org/dc/terms/identifier>,'url:www.indexdatabase.de/'^^[xsd:string]
<http://www.indexdatabase.de/>,<http://purl.org/dc/terms/title>,'Index Database: A database for remote sensing indices'@en
<http://doi.org/10.2307/2441319>,<http://www.w3.org/2000/01/rdf-schema#label>,'Hickey 1973'^^[xsd:string]
<http://doi.org/10.2307/2441319>,<http://purl.org/dc/terms/bibliographicCitation>,"'Hickey, Leo J.  Classification of the architecture of dicotyledonous leaves. *American Journal of Botany* 60(1): 17-33 (1973).'@en"
<http://doi.org/10.2307/2441319>,<http://purl.org/dc/terms/identifier>,'doi:10.2307/2441319'^^[xsd:string]
<http://doi.org/10.2307/2441319>,<http://purl.org/dc/terms/title>,'Classification of the Architecture of Dicotyledonous Leaves'@en
